md5,path,og_filename,og_uri,sample_id,read_type,replicate,file_name,gcp_uri,sample_name
3a8103474033d9c48cd59b043d68c8fb,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1_S3_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-069_B1_S3_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1_Rep2
e49d027fb6b10a8cf9df34d4897d81ff,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1_S3_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-069_B1_S3_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1_Rep2
789856600b1342404551547e347610c9,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1_S4_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-069_C1_S4_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1_Rep2
7c4366fafd8471fb34b18a0c89f30631,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1_S4_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-069_C1_S4_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1_Rep2
b0024d40178687e2386e7e1fce6d5b87,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1_S5_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-070_B1_S5_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1_Rep2
c4842e5555f865c945a28e941ad8cab7,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1_S5_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-070_B1_S5_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1_Rep2
0940b86c287f2485f2b21da8f3c5d35a,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1_S6_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-070_C1_S6_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1_Rep2
48dd6ae0f97205aa9648de53df7e2497,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1_S6_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-070_C1_S6_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1_Rep2
de3429e470e9fa4a457ad26206877124,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1_S7_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-070_D1_S7_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1_Rep2
e71b04f8f3f3b088ebc8a32d1fc4050d,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1_S7_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-070_D1_S7_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1_Rep2
