sample_id;tissue;technology;omic;RIN;molecular_source;input_cell_count;assay;sequencing_end;sequencing_length;sequencing_instrument
ASAP156_PD_NP21-57_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP157_PD_NP21-208_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP158_PD_NP21-217_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP159_ctrl_16-119_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP160_ctrl_NP17-216_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP161_ctrl_NP18-46_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP162_ctrl_NP18-148_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP163_PD_NP21-208_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP164_PD_NP21-217_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP165_ctrl_NP16-284_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP166_ctrl_NP16-293_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP167_ctrl_NP17-20_PFC;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP168_ctrl_NP16-284_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP170_ctrl_NP17-20_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP172_ctrl_NP18-46_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP173_PD_NP21-57_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP174_ctrl_NP16-119_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP175_ctrl_NP16-284_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP176_ctrl_NP18-148_PUT;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP177_PD_NP21-57_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP178_PD_NP21-208_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP179_PD_NP21-217_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP180_ctrl_NP16-119_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP181_ctrl_NP16-293_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP184_ctrl_NP18-148_SN;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP185_PD_NP21-217_AMY;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP186_ctrl_NP16-119_AMY;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
ASAP188_ctrl_NP16-293_AMY;Brain;Bulk;RNA;NA;RNA;NA;Other;Paired-end;2x150bp;Illumina NovaSeq 6000
