sample_id;replicate;replicate_count;repeated_sample;batch;file_type;file_name;file_description;file_MD5;adjustment;content;header;annotation;configuration_file
ASAP156_PD_NP21-57_PFC_bulk;NA;1;NA;1;FASTQ;ASAP156_PD_NP21-57_PFC_bulk_R1.fastq.gz;Raw reads;662c0e24eb79aad79e40576b3163123f;raw;Reads;;;
ASAP156_PD_NP21-57_PFC_bulk;NA;1;NA;1;FASTQ;ASAP156_PD_NP21-57_PFC_bulk_R2.fastq.gz;Raw reads;2a61a42927284956273d5603dc29759d;raw;Reads;;;
ASAP157_PD_NP21-208_PFC_bulk;NA;1;NA;1;FASTQ;ASAP157_PD_NP21-208_PFC_bulk_R1.fastq.gz;Raw reads;398a9199b13285e60f1bf65ba0f7aa61;raw;Reads;;;
ASAP157_PD_NP21-208_PFC_bulk;NA;1;NA;1;FASTQ;ASAP157_PD_NP21-208_PFC_bulk_R2.fastq.gz;Raw reads;530637bbbc294a770339736002fa042a;raw;Reads;;;
ASAP158_PD_NP21-217_PFC_bulk;NA;1;NA;1;FASTQ;ASAP158_PD_NP21-217_PFC_bulk_R1.fastq.gz;Raw reads;6dffb01bab17ab3618abe104278a8d10;raw;Reads;;;
ASAP158_PD_NP21-217_PFC_bulk;NA;1;NA;1;FASTQ;ASAP158_PD_NP21-217_PFC_bulk_R2.fastq.gz;Raw reads;f83db73e72a7f0e7a88e67e96f08751a;raw;Reads;;;
ASAP159_ctrl_16-119_PFC_bulk;NA;1;NA;1;FASTQ;ASAP159_ctrl_16-119_PFC_bulk_R1.fastq.gz;Raw reads;f0e9adabf367bec55540ddc909d9bdc3;raw;Reads;;;
ASAP159_ctrl_16-119_PFC_bulk;NA;1;NA;1;FASTQ;ASAP159_ctrl_16-119_PFC_bulk_R2.fastq.gz;Raw reads;acecbfa63a9bbb9f1126b21930ca0847;raw;Reads;;;
ASAP160_ctrl_NP17-216_PFC_bulk;NA;1;NA;1;FASTQ;ASAP160_ctrl_NP17-216_PFC_bulk_R1.fastq.gz;Raw reads;1614be4609995ef817f7564cbbd159cc;raw;Reads;;;
ASAP160_ctrl_NP17-216_PFC_bulk;NA;1;NA;1;FASTQ;ASAP160_ctrl_NP17-216_PFC_bulk_R2.fastq.gz;Raw reads;5a62b4d2b891a81e8b80a41db5d52ba3;raw;Reads;;;
